n_features,k,n_samples,sample_id,difference
7,6,500000,470931,0.01
7,6,500000,471769,0.01
7,6,500000,472344,0.0199999999999999
7,6,500000,472606,0.0499999999999999
7,6,500000,473267,0.01
7,6,500000,473364,0.0099999999999999
7,6,500000,475173,0.01
7,6,500000,475493,0.0099999999999999
7,6,500000,475524,0.01
7,6,500000,476095,0.01
7,6,500000,477109,0.01
7,6,500000,477966,0.0099999999999999
7,6,500000,480486,0.01
7,6,500000,482687,0.0099999999999999
7,6,500000,483228,0.01
7,6,500000,483335,0.01
7,6,500000,484096,0.0099999999999999
7,6,500000,484108,0.01
7,6,500000,484584,0.0099999999999999
7,6,500000,485586,0.01
7,6,500000,485916,0.01
7,6,500000,486050,0.01
7,6,500000,486272,0.01
7,6,500000,486771,0.0099999999999999
7,6,500000,489201,0.01
7,6,500000,490147,0.01
7,6,500000,490270,0.01
7,6,500000,492148,0.0199999999999999
7,6,500000,492570,0.0099999999999999
7,6,500000,492690,0.01
7,6,500000,492759,0.01
7,6,500000,494544,0.01
7,6,500000,495923,0.0099999999999999
7,6,500000,496816,0.0099999999999999
7,6,500000,497307,0.0099999999999999
7,6,500000,498738,0.01
7,6,500000,498836,0.01
7,6,500000,499609,0.01
7,6,500000,499956,0.0099999999999999
8,7,500000,1211,0.01
8,7,500000,2934,0.01
8,7,500000,9397,0.0099999999999999
8,7,500000,10798,0.01
8,7,500000,18384,0.0099999999999999
8,7,500000,22637,0.01
8,7,500000,23502,0.01
8,7,500000,24350,0.0099999999999999
8,7,500000,26219,0.0099999999999999
8,7,500000,26710,0.01
8,7,500000,32806,0.01
8,7,500000,33889,0.01
8,7,500000,35629,0.03
8,7,500000,36791,0.01
8,7,500000,36840,0.01
8,7,500000,38345,0.0099999999999999
8,7,500000,39184,0.0099999999999999
8,7,500000,40781,0.01
8,7,500000,41357,0.0199999999999999
8,7,500000,42211,0.0199999999999999
8,7,500000,47655,0.01
8,7,500000,48451,0.01
8,7,500000,48891,0.01
8,7,500000,49234,0.0099999999999999
8,7,500000,49456,0.01
8,7,500000,50687,0.01
8,7,500000,50867,0.0099999999999999
8,7,500000,51874,0.01
8,7,500000,53354,0.0099999999999999
8,7,500000,53769,0.03
